weiboID,sentenceID,sentence,opinionated,polarity
4650,1,#菲军舰恶意撞击#又他妈一个猴子,Y,NEG
4657,1,#菲军舰恶意撞击#搞死它死菲佣,Y,NEG
4658,1,#菲军舰恶意撞击#哇靠！,N,NA
4658,2,究竟还要忍多久！,N,NA
4658,3,我们的军队是摆设吗？,Y,NEG
4662,1,#菲军舰恶意撞击#很是气愤，这么小的国家也敢欺负中国，太嚣张了，端了它！,Y,NEG
4666,1,#菲军舰恶意撞击#肯定又是谴责了，中国政府还能干什么？,Y,NEG
4666,2,泱泱中华，被人欺负的跟个瘪三似的，悲哀！,Y,NEG
4667,1,#菲军舰恶意撞击#意外，真TMD意外，连小小菲律宾也敢撞我们了！,N,NA
4667,2,尼妈的海军干嘛呢？,N,NA
4667,3,拿的烧火棍吗？,N,NA
4667,4,外交部还是赶紧谴责了事吧！,N,NA
4667,5,我靠，毛大爷，邓大爷快醒过来吧！,N,NA
4667,6,瞧瞧你的这帮不孝的兔崽子啊！,Y,NEG
4667,7,只学会谴责就把国人糊弄了事！,N,NA
4667,8,可悲啊……,Y,NEG
4674,1,#菲军舰恶意撞击#不是ZF无能，也不是人家狡诈，是我们的国民素质教育低下了！,Y,NEG
4674,2,你们都吃饱撑的？！,Y,NEG
4674,3,我国的国情都看不懂吗？,N,NA
4674,4,我国发展到今天，历时多少年？,N,NA
4674,5,最基层农民是怎么度过这和平年代的？,N,NA
4674,6,刚刚才可以吃饱饭你让他还继续受苦啊？！,N,NA
4674,7,别以为中国是坚不可摧，就像你家其实经济收入不咋滴，硬买个车充大爷,N,NA
4682,1,#菲军舰恶意撞击#跑到中国的地盘   撞击中国的船  确是意外？,N,NA
4682,2,当中国人都是傻子吗？,Y,NEG
4684,1,#菲军舰恶意撞击#中国人的尊严何在？,Y,NEG
4684,2,连菲律宾、越南这些蛮夷小国都敢欺负我们，政府为何不能强硬一些，学学我们的邻居俄罗斯，看看人家！,Y,NEG
4684,3,现今的政治环境下，政府是不是应该调整一下对外政策了…,N,NA
4686,1,#菲军舰恶意撞击#麻痹蛋丸之国也这么嚣张,Y,NEG
4688,1,#菲军舰恶意撞击#怎么了；,N,NA
4688,2,今年总是有这样的事情发生、前段时间在印度海峡又被欺负、跟着美国又干涉人民币、现在又来个菲律宾……？,N,NA
4688,3,老是发表声明谴责有什么用？,N,NA
4688,4,不能再软弱了；,N,NA
4688,5,就连菲律宾这样的小国都敢在老虎头上拨毛：太嚣张了。,Y,NEG
4688,6,一个字“打”,N,NA
4702,1,#菲军舰恶意撞击#转向舵是不会失效的，更不会这么巧。,N,NA
4702,2,事故都是人为的，编了个借口。,N,NA
4702,3,菲炮艇下次可能会炮蛋走火。,N,NA
4702,4,知道中国政府财大、气粗、胆子小。,Y,NEG
4707,1,#菲军舰恶意撞击#.小菲，老鼠，来吧！,Y,NEG
4707,2,你会比它更惨...,Y,NEG
4715,1,#菲军舰恶意撞击#什么意思？,N,NA
4715,2,平时不失控，碰到我们就失控？,N,NA
4715,3,信不信我们核弹失控炸你家老巢？,N,NA
4715,4,我想吐槽，但你们不是人，还是算了吧，哼,Y,NEG
4717,1,#菲军舰恶意撞击#要就来真格的…,N,NA
4717,2,小样！,Y,NEG
4718,1,#菲军舰恶意撞击#菲 不能再让你飞一会了、、、真是嚣张得不行,Y,NEG
4723,1,#菲军舰恶意撞击#软弱的政府!,Y,NEG
4723,2,好战的国民!,Y,NEG
4723,3,还用什么解放军啊!,N,NA
4724,1,#菲军舰恶意撞击#中国没有第二个邓小平了么？,N,NA
4724,2,TMMD，军委主席吃屎去了么？,Y,NEG
4724,3,CTM 滚下去,N,NA
4725,1,#菲军舰恶意撞击#虽说中国还不够强大，但不要用君子行为对小人。,Y,NEG
4725,2,要一招制敌让别人心存敬畏！,N,NA
4730,1,#菲军舰恶意撞击#当年小米加步枪都敢和美国打、现在………,N,NA
4730,2,越来越差劲了…,Y,NEG
4735,1,#菲军舰恶意撞击#这种国家就是没有出息，只知道为别家卖批到时候还要别家数钱，我种国家就是垃圾，国际的败类，嗨真为这些垃圾叹气,Y,NEG
4755,1,#菲军舰恶意撞击#东亚病夫！！！,Y,NEG
4755,2,尽情的挑衅中国吧！,N,NA
4755,3,我们国家太懦弱了。。。,Y,NEG
4760,1,#菲军舰恶意撞击#草！,N,NA
4760,2,菲律宾大裤衩子都这么嚣张！,Y,NEG
4760,3,我们真应该制裁一下了！,N,NA
4764,1,#菲军舰恶意撞击#他奶奶的，连个小小的菲律宾都不把中国放在眼里，请问中国的尊严何在？,N,NA
4764,2,中国母亲，你太软弱了！,Y,NEG
4764,3,要不怎么这么多鱼兵虾将都敢欺负您呢？,N,NA
4850,1,#菲军舰恶意撞击#你真是无意吗，我掀你个耳光，也说手不听使唤呢！,N,NA
4850,2,菲真是一条狗,Y,NEG
4853,1,#菲军舰恶意撞击#连菲佣这种破国家都欺负中国。,Y,NEG
4853,2,唉！,N,NA
4853,3,不争气的中国啊！,Y,NEG
4887,1,#菲军舰恶意撞击#打他个狗日小菲，王菲也要打,Y,NEG
4894,1,#菲军舰恶意撞击#领导人天天靠伟哥生活太久了吗？,N,NA
4894,2,都挺不起来！,Y,NEG
4931,1,#菲军舰恶意撞击#丢脸！,Y,NEG
4931,2,没用的国家,Y,NEG
4937,1,#菲军舰恶意撞击#菲律宾真贱,Y,NEG
4967,1,#菲军舰恶意撞击#懦弱的中国政府，被这小国家骑到了头上，中国政府发展了经济丢失了刚硬。,Y,NEG
4971,1,#菲军舰恶意撞击#窝囊的糊禁逃崽子，我日泥码,Y,NEG
4973,1,#菲军舰恶意撞击#中国，已很让国人失望。,Y,NEG
4973,2,真的不能再叫母亲了，改叫父亲才能威慑四邻,N,NA
4984,1,#菲军舰恶意撞击#中国在对外就和孙子一样，就会欺负自己人，空军能让美国撞，渔船就能让菲律宾小鬼撞，中国要是不禁枪哥们非让他知道华夏子孙是不好惹的,Y,NEG
4991,1,没办法呀！,N,NA
4991,2,毕竟是中国最黑的党～共产党在执政，持强凌弱……,Y,NEG
4991,3,#菲军舰恶意撞击#,N,NA
5004,1,#菲军舰恶意撞击#难道政府忘了党的教诲，忘了撒满革命热血的那面五星红旗…,N,NA
5004,2,无论政府有怎样的深谋远虑，国人受欺负，就是你们的无能…,Y,NEG
5004,3,中国，您醒醒吧…,N,NA
5012,1,#菲军舰恶意撞击#hu这狗日的怕是第二个布什,Y,NEG
5022,1,#菲军舰恶意撞击#中国军队无能懦弱，什么都听上面的，*,Y,NEG
5023,1,#菲军舰恶意撞击#对于中国政府.垃圾.腐败.还很孙子.作为中国人.被欺负.习惯习惯就好,Y,NEG
5030,1,#菲军舰恶意撞击#蛋痛的中国人，不痒的政府,Y,NEG
5040,1,#菲军舰恶意撞击#现在的中国就是当年晚清，怂包软蛋的官员,Y,NEG
5041,1,#菲军舰恶意撞击#中国是时候强硬起来了，不应只停留在懦弱谈判。,Y,NEG
5041,2,该出手时就要出手了！,N,NA
5050,1,#菲军舰恶意撞击#胡××还是不行阿～对于美国人不能过于软弱，惩戒一下菲律宾给美国人看看～,Y,NEG
5054,1,#菲军舰恶意撞击#就是中国太懦弱了，什么人都敢欺负到头上,Y,NEG
5067,1,#菲军舰恶意撞击#菲律宾是无懒小国，占我领海欺我鱼民，请问我们军队在干吗？,Y,NEG
5067,2,我们海军在干吗？,Y,NEG
5067,3,给他颜色看看！,N,NA
5069,1,#菲军舰恶意撞击#中国的领导层太软弱啦，还大国呢！,Y,NEG
5069,2,丢人。,Y,NEG
5072,1,#菲军舰恶意撞击#中国人民是不可战胜的！,Y,POS
5072,2,别以为让着你就是怕你！,N,NA
